chemname,class,avian_ld50_mg_per_kg,avian_ceiling,avian_test_species,avian_source_url,aquatic_lc50_ug_per_l,aquatic_ceiling,aquatic_test_species,aquatic_source_url,notes
tau-fluvalinate,Pyrethroids,2510,TRUE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/608.htm,8.9,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/608.htm,avian ceiling >2510; PPDB labels avian as "contact LD50" but EXTOXNET confirms oral LD50 also >2510 mg/kg (Bobwhite); aquatic ECOTOX cross-check: 3 competing values — PPDB 8.9 μg/L (UK CRD regulatory study; used here as most citable), Dane et al. 2026 J App Tox 0.016 μg/L (pure isomer, newer study), EXTOXNET racemate 74 μg/L; EPA 2020 registration review (EPA-HQ-OPP-2010-0915) applied same pyrethroid aquatic mitigation measures as lambda-cyhalothrin, suggesting EPA does not treat tau-fluvalinate as substantially less aquatically toxic; 8.9 μg/L retained as conservative regulatory value; note this is ~38x less toxic than lambda-cyhalothrin (0.23 μg/L) which may understate true risk if Dane 2026 value is correct
tralomethrin,Pyrethroids,2510,TRUE,Phasianidae (pheasant family),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/647.htm,0.038,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/647.htm,avian ceiling >2510; FLAG-AVIAN: pheasant family (Phasianidae) is non-standard surrogate — no Bobwhite or mallard value found in PPDB or ECOTOX; value retained as best available; aquatic ECOTOX cross-check: PPDB 0.038 μg/L sourced from L3 reference books (less authoritative than primary study); no independent primary ECOTOX study located; 0.038 μg/L is plausible for a Type II pyrethroid (similar to bifenthrin 0.11, gamma-cyhalothrin 0.045) and directionally consistent with class; retained pending primary-literature verification; note tralomethrin is a low-volume CA use chemical
chlorpyrifos,Organophosphates,39.2,FALSE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/154.htm,0.10,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/154.htm,drives pre-2018 OP baseline in script; high avian toxicity (39.2 mg/kg); high aquatic toxicity (0.10 μg/L)
malathion,Organophosphates,359,FALSE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/421.htm,0.7,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/421.htm,
diazinon,Organophosphates,1.44,FALSE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/212.htm,1.0,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/212.htm,avian — mallard (non-preferred surrogate; Bobwhite value not in PPDB); 1.44 mg/kg is consistent with diazinon's known high avian toxicity; some other sources cite 3.5 mg/kg for mallard — within 2.5x, no cross-check required
dimethoate,Organophosphates,10.5,FALSE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/244.htm,2000,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/244.htm,aquatic 2000 μg/L (2 mg/L) — very low Daphnia toxicity vs pyrethroids (~20000x less toxic than lambda-cyhalothrin); expected for systemic OP; consistent with EXTOXNET 2 mg/L (48h LC50)
acephate,Organophosphates,350,FALSE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/9.htm,67200,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/9.htm,avian — mallard (non-preferred surrogate); aquatic 67200 μg/L (67.2 mg/L) — extremely low Daphnia toxicity; expected for systemic OP with high water solubility; acephate aquatic toxicity widely reported as low
phosmet,Organophosphates,1068,TRUE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/521.htm,2.0,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/521.htm,avian ceiling >1068 mg/kg mallard (non-preferred surrogate)
methidathion,Organophosphates,23.6,FALSE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/456.htm,6.4,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/456.htm,avian — mallard (non-preferred surrogate)
naled,Organophosphates,52,TRUE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/480.htm,0.35,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/480.htm,avian ceiling >52 mg/kg mallard — low max test dose; actual LD50 may be considerably higher; mallard (non-preferred surrogate); aquatic 0.35 μg/L — relatively high Daphnia toxicity for an OP
oxydemeton-methyl,Organophosphates,34,FALSE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/501.htm,110,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/501.htm,aquatic 110 μg/L — low Daphnia toxicity for an OP; systemic insecticide
phorate,Organophosphates,2.25,FALSE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/519.htm,4.0,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/519.htm,avian — mallard (non-preferred surrogate); 2.25 mg/kg — extremely high avian toxicity
azinphos-methyl,Organophosphates,32,FALSE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/51.htm,1.1,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/51.htm,
imidacloprid,Restricted neonics,31,FALSE,Coturnix japonica (Japanese quail),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/397.htm,85000,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/397.htm,FLAG-AVIAN: Japanese quail (non-preferred surrogate); EPA 2016 ecological risk assessment cites Bobwhite LD50 ~152 mg/kg (~5x higher) — within 1 order of magnitude, no cross-check required; aquatic 85000 μg/L (85 mg/L) — low Daphnia toxicity consistent with selective insect nAChR mechanism
clothianidin,Restricted neonics,430,FALSE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/171.htm,40000,TRUE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/171.htm,aquatic ceiling >40000 μg/L (>40 mg/L); very low Daphnia toxicity
thiamethoxam,Restricted neonics,576,FALSE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/631.htm,100000,TRUE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/631.htm,avian — mallard (non-preferred surrogate); aquatic ceiling >100000 μg/L (>100 mg/L); very low Daphnia toxicity
dinotefuran,Restricted neonics,2000,TRUE,Coturnix japonica (Japanese quail),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1195.htm,968300,TRUE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1195.htm,avian ceiling >2000 mg/kg Japanese quail (non-preferred surrogate); aquatic ceiling >968300 μg/L (>968.3 mg/L) — extremely low Daphnia toxicity
acetamiprid,Other neonics,98,FALSE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/11.htm,49800,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/11.htm,avian — mallard (non-preferred surrogate); aquatic 49800 μg/L (49.8 mg/L) — low Daphnia toxicity consistent with neonic class
thiacloprid,Other neonics,2716,FALSE,Colinus virginianus (Northern Bobwhite),https://www.apvma.gov.au/sites/default/files/publication/14066-prs-thiacloprid.pdf,85100,TRUE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/630.htm,FLAG-AVIAN: PPDB has no oral LD50 for thiacloprid (only canary contact LD50 35 mg/kg); avian value 2716 mg/kg from APVMA public release summary for Bobwhite quail (OECD up-and-down test, CIs 1540–248553 mg/kg — very wide, effectively non-toxic); thiacloprid voluntarily cancelled in US 2020; low CA PUR volume; aquatic ceiling >85100 μg/L (>85.1 mg/L) from PPDB
nitenpyram,Other neonics,1124,FALSE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1612.htm,10000000,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1612.htm,avian — mallard (non-preferred surrogate); aquatic 10000000 μg/L (10000 mg/L) — PPDB L3 source (reference books); extremely low Daphnia toxicity; no CA registration currently active
sulfoxaflor,Next-gen systemics,676,FALSE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1669.htm,399000,TRUE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1669.htm,aquatic ceiling >399000 μg/L (>399 mg/L) — very low Daphnia toxicity
flupyradifurone,Next-gen systemics,232,FALSE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2620.htm,77600,TRUE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2620.htm,aquatic ceiling >77600 μg/L (>77.6 mg/L) — low Daphnia toxicity
chlorantraniliprole,Diamides,2250,TRUE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1138.htm,11.6,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1138.htm,avian ceiling >2250 mg/kg; aquatic 11.6 μg/L — unexpectedly high Daphnia toxicity for a diamide; RyR2 channel in crustaceans may contribute; consistent with EFSA risk assessments flagging chlorantraniliprole aquatic risk
cyantraniliprole,Diamides,2250,TRUE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1662.htm,20,TRUE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1662.htm,avian ceiling >2250 mg/kg; aquatic ceiling >20 μg/L — max test dose 20 μg/L without EC50; actual EC50 >20 μg/L; PPDB classification "High" aquatic toxicity
flubendiamide,Diamides,2000,TRUE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1132.htm,60,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1132.htm,avian ceiling >2000 mg/kg
tetraniliprole,Diamides,2000,TRUE,Colinus virginianus (class-based estimate),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3190.htm,382,TRUE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3190.htm,FLAG-AVIAN: no avian LD50 data in PPDB (field shows "—"); 2000 mg/kg is a class-based estimate — all other diamides show >2000 mg/kg; verify from EPA registration review before publication; aquatic ceiling >382 μg/L from PPDB
carbaryl,Carbamates,2000,TRUE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/115.htm,7.47,FALSE,Daphnia magna (48h EC50),https://pubmed.ncbi.nlm.nih.gov/26549316/,avian ceiling >2000 mg/kg mallard; aquatic 7.47 μg/L from peer-reviewed literature (Norgaard & Cedergreen 2010, Environ Tox Chem PMID 26549316) — PPDB only has D. pulex 48h EC50 (6.4 μg/L) and D. magna 21d NOEC; D. magna 48h EC50 confirmed ~7 μg/L across multiple studies
methomyl,Carbamates,24.2,FALSE,Colinus virginianus (Northern Bobwhite),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/458.htm,7.6,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/458.htm,
oxamyl,Carbamates,3.16,FALSE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/498.htm,319,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/498.htm,avian — mallard (non-preferred surrogate); highly toxic to birds (3.16 mg/kg)
carbofuran,Carbamates,0.71,FALSE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/118.htm,9.4,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/118.htm,avian — mallard (non-preferred surrogate); 0.71 mg/kg — extremely high avian toxicity (well-documented; carbofuran responsible for documented mass bird kills)
aldicarb,Carbamates,3.4,FALSE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/19.htm,420,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/19.htm,avian — mallard (non-preferred surrogate); highly toxic to birds (3.4 mg/kg)
spinosad,Spinosyns,2000,TRUE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/bpdb/Reports/596.htm,1000,TRUE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/bpdb/Reports/596.htm,source is AERU BPDB (Biopesticide Properties DB) not PPDB — spinosad not indexed in PPDB; avian ceiling >2000 mg/kg mallard; aquatic ceiling >1000 μg/L (>1.0 mg/L) — conservative floor; actual EC50 likely 30–90 mg/L (30000–90000 μg/L) per other studies
spinetoram,Spinosyns,2250,TRUE,Anas platyrhynchos (mallard duck),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1144.htm,228,FALSE,Daphnia magna (48h EC50),https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1144.htm,avian ceiling >2250 mg/kg mallard
